username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count,sentiment,sentiment_confidence,text_len,char_repeat_ratio,token_repeat_ratio,dup_score,mismatch,fake_score,fake_pred
m*****e,"Sepadan dengan Harga:harga terjangkau aman kantong dan dompet
Fitur Terbaik:kualitas dan fitur normal dan sangat bagus ringan elegan fleksibel dan mudah dibawa kemana mana..

Barang sangat bagus dan harganya pun murah dan terjangkau, spesifikasi tinggi sesuai gambar.",5,217,1763345525,sepadan dengan harga harga terjangkau aman kantong dan dompet fitur terbaik kualitas dan fitur normal dan sangat bagus ringan elegan fleksibel dan mudah dibawa kemana mana barang sangat bagus dan harganya pun murah dan terjangkau spesifikasi tinggi sesuai gambar,sepadan dengan harga harga terjangkau aman kantong dan dompet fitur terbaik kualitas dan fitur normal dan sangat bagus ringan elegan fleksibel dan mudah dibawa kemana mana barang sangat bagus dan harganya pun murah dan terjangkau spesifikasi tinggi sesuai gambar,39,positive,0.75,262,0.003816793893129771,0.41025641025641024,0.0,0.0,0.103518301037385,0
f*****8,"Fitur Terbaik:Sangat bagus
Sepadan dengan Harga:Sepadan dengan harga

Alhamdulillah unit nya oke, dan ada lecet² wajar karna 2nd. Sellernya ramah, fast respons, packingnya super tebal dan Insyaa Allah sangat aman. Booting hanya sekitar 27detik sampai home",5,67,1764805229,fitur terbaik sangat bagus sepadan dengan harga sepadan dengan harga alhamdulillah unit nya oke dan ada lecet wajar karna 2nd sellernya ramah fast respons packingnya super tebal dan insyaa allah sangat aman booting hanya sekitar 27detik sampai home,fitur terbaik sangat bagus sepadan dengan harga sepadan dengan harga alhamdulillah unit nya oke dan ada lecet wajar karna 2nd sellernya ramah fast respons packingnya super tebal dan insyaa allah sangat aman booting hanya sekitar 27detik sampai home,38,positive,0.75,248,0.020161290322580645,0.2631578947368421,0.0,0.0,0.07082979626485568,0
ooonz,"Fitur Terbaik:bagus sesuai
Sepadan dengan Harga:sangat sepadan

laptop nya aman bagus.. semoga gk ada kendala ..baru pertama beli di toko ini.. bagus bngt kyk barang baru ..dpt tas sama casan nya.. menyala abangkuh",5,97,1764199354,fitur terbaik bagus sesuai sepadan dengan harga sangat sepadan laptop nya aman bagus semoga gk ada kendala baru pertama beli di toko ini bagus bngt kyk barang baru dpt tas sama casan nya menyala abangkuh,fitur terbaik bagus sesuai sepadan dengan harga sangat sepadan laptop nya aman bagus semoga gk ada kendala baru pertama beli di toko ini bagus bngt kyk barang baru dpt tas sama casan nya menyala abangkuh,35,positive,0.75,203,0.0,0.2571428571428571,0.0,0.0,0.06428571428571428,0
bayafillah,"Fitur Terbaik:Fisik Mulus meskipun 2nd penggunaan
Sepadan dengan Harga:Sangat Worth It dan layak dibeli

Ekspektasi saya sesuai, meskipun barang second tapi tidak kelihatan ada cacat, program berjalan normal, sama sekali gak bising. Pelayanan ramah dan fast respon. Terima kasih seller.",5,327,1763565858,fitur terbaik fisik mulus meskipun 2nd penggunaan sepadan dengan harga sangat worth it dan layak dibeli ekspektasi saya sesuai meskipun barang second tapi tidak kelihatan ada cacat program berjalan normal sama sekali gak bising pelayanan ramah dan fast respon terima kasih seller,fitur terbaik fisik mulus meskipun 2nd penggunaan sepadan dengan harga sangat worth it dan layak dibeli ekspektasi saya sesuai meskipun barang second tapi tidak kelihatan ada cacat program berjalan normal sama sekali gak bising pelayanan ramah dan fast respon terima kasih seller,42,neutral,0.55,279,0.010752688172043012,0.09523809523809523,0.0,0.0,0.026497695852534562,0
sc_multimedia,"Sepadan dengan Harga:sangat sepadan
Fitur Terbaik:sangat terbaik

Packing rapi dan aman banget dibungkus dengan plastik dan bubble wrap berlapis sehingga aman dari benturan dan hujan deras sekalipun. Barang berkualitas bagus sesuai dengan diskripsi dan spesifikasi. Recommended seller deh pokoknya.",5,109,1763777639,sepadan dengan harga sangat sepadan fitur terbaik sangat terbaik packing rapi dan aman banget dibungkus dengan plastik dan bubble wrap berlapis sehingga aman dari benturan dan hujan deras sekalipun barang berkualitas bagus sesuai dengan diskripsi dan spesifikasi recommended seller deh pokoknya,sepadan dengan harga sangat sepadan fitur terbaik sangat terbaik packing rapi dan aman banget dibungkus dengan plastik dan bubble wrap berlapis sehingga aman dari benturan dan hujan deras sekalipun barang berkualitas bagus sesuai dengan diskripsi dan spesifikasi recommended seller deh pokoknya,41,positive,0.75,294,0.013605442176870748,0.36585365853658536,0.0,0.0,0.09486477517836403,0
dinasti_1,"Fitur Terbaik:spek sesuai deskripsi
Sepadan dengan Harga:masih mulus,

Semoga battery awet dan tidak rewel",5,77,1764975453,fitur terbaik spek sesuai deskripsi sepadan dengan harga masih mulus semoga battery awet dan tidak rewel,fitur terbaik spek sesuai deskripsi sepadan dengan harga masih mulus semoga battery awet dan tidak rewel,16,neutral,0.55,104,0.009615384615384616,0.0,0.0,0.0,0.002403846153846154,0
,"Fitur Terbaik:Pelayanan cepat,, mantul

pelayanan cepat, kondisi barang mulus,, packing juga sangat aman 👍👍👍
semoga selalu amanah..",5,71,1764975464,fitur terbaik pelayanan cepat mantul pelayanan cepat kondisi barang mulus packing juga sangat aman semoga selalu amanah,fitur terbaik pelayanan cepat mantul pelayanan cepat kondisi barang mulus packing juga sangat aman semoga selalu amanah,17,positive,0.75,119,0.0,0.23529411764705882,0.0,0.0,0.058823529411764705,0
ashabulyaminbabe,"Kualitas:normal
Kondisi Barang:bagus walau second
Desain:slim

Seller amanah.. Ssuai deskripsi, malah dikirim yang TS,, padahal pesanan NO TS.. Terimakasih barang km Terima lengkap dan kemasan cukup aman.. Mudahan tidak ada kendala sehingga tidak klem garansi☺☺👌👌👍👍👍👍",5,18,1763550073,kualitas normal kondisi barang bagus walau second desain slim seller amanah ssuai deskripsi malah dikirim yang ts padahal pesanan no ts terimakasih barang km terima lengkap dan kemasan cukup aman mudahan tidak ada kendala sehingga tidak klem garansi,kualitas normal kondisi barang bagus walau second desain slim seller amanah ssuai deskripsi malah dikirim yang ts padahal pesanan no ts terimakasih barang km terima lengkap dan kemasan cukup aman mudahan tidak ada kendala sehingga tidak klem garansi,38,neutral,0.55,249,0.012048192771084338,0.15789473684210525,0.0,0.0,0.0424857324032974,0
sukma_aditya_nurcahyo,"Fitur Terbaik:keyboard backlight
Sepadan dengan Harga:laptop masih terlihat seperti baru

respon penjual baik.. barang sesuai spek dan request dari saya juga dipenuhi.. kondisi barang juga masih bagus seperti laptop baru.. pengemasan rapi dan aman dengan bubble warp.. makasih banyak ya, sukses slalu 🙏🙏👍👍😁",5,61,1758274529,fitur terbaik keyboard backlight sepadan dengan harga laptop masih terlihat seperti baru respon penjual baik barang sesuai spek dan request dari saya juga dipenuhi kondisi barang juga masih bagus seperti laptop baru pengemasan rapi dan aman dengan bubble warp makasih banyak ya sukses slalu,fitur terbaik keyboard backlight sepadan dengan harga laptop masih terlihat seperti baru respon penjual baik barang sesuai spek dan request dari saya juga dipenuhi kondisi barang juga masih bagus seperti laptop baru pengemasan rapi dan aman dengan bubble warp makasih banyak ya sukses slalu,44,positive,0.75,290,0.0034482758620689655,0.36363636363636365,0.0,0.0,0.09177115987460815,0
fikarahma201,"Desain:laptop ny bagus masih kekinian
Kondisi Barang:bagus
Fungsi:bgaus

Toko amanah pengiriman cepat pesen malam besok dah di kirim, walaupun laptop keluaran 2017 desain nya masih kekinian",5,16,1762621861,desain laptop ny bagus masih kekinian kondisi barang bagus fungsi bgaus toko amanah pengiriman cepat pesen malam besok dah di kirim walaupun laptop keluaran 2017 desain nya masih kekinian,desain laptop ny bagus masih kekinian kondisi barang bagus fungsi bgaus toko amanah pengiriman cepat pesen malam besok dah di kirim walaupun laptop keluaran 2017 desain nya masih kekinian,29,positive,0.75,187,0.0,0.3448275862068966,0.0,0.0,0.08620689655172414,0
